Country,ISO Code,Year,Population,GDP (Constant US$),GDP per Capita (Constant US$),Total CO2 Emissions (Mt),Per Capita CO2 (Mt),Share of Global CO2 (%),Coal CO2 (Mt),Oil CO2 (Mt),Gas CO2 (Mt),Cement CO2 (Mt),Flaring CO2 (Mt),Other Industry CO2 (Mt)
Algeria,DZA,2006,33623505,3.46E+11,10290.42035,103.79776,3.087059498,0.339273214,2.700367928,35.2330246,49.30644608,4.441604137,12.11631298,
Algeria,DZA,2007,34189420,3.72E+11,10880.55896,107.5486984,3.145671844,0.341432482,3.011807919,38.32177734,51.07616043,4.659999847,10.4789505,
Algeria,DZA,2008,34816963,3.96E+11,11373.76629,108.5960846,3.11905694,0.338836938,3.008245945,37.36307144,51.55056,5.092050076,11.58215332,
Algeria,DZA,2009,35490442,4.18E+11,11777.81894,116.3279724,3.277726889,0.369142652,1.593840003,44.8913269,54.89404678,5.691974163,9.256780624,
Algeria,DZA,2010,36188237,4.51E+11,12462.6132,117.8473587,3.256510019,0.353708267,1.216485977,45.36540604,53.36783218,7.746408939,10.15122414,
Algeria,DZA,2011,36903374,4.82E+11,13061.13636,124.7152405,3.37950778,0.361703247,1.121148944,46.91973877,56.72063446,7.734612942,12.21910286,
Algeria,DZA,2012,37646165,4.98E+11,13228.43907,135.5934601,3.601786613,0.387911528,1.106528044,48.5406723,64.11633301,7.542937756,14.28698158,
Algeria,DZA,2013,38414176,5.12E+11,13328.41293,141.5342712,3.684428215,0.401221752,0.776767969,52.01780701,65.4500351,7.896093845,15.39357567,
Algeria,DZA,2014,39205035,5.32E+11,13569.68563,152.4346619,3.888139725,0.429808736,0.57891202,53.58233643,73.83326721,8.087319374,16.35283089,
Algeria,DZA,2015,40019528,5.52E+11,13793.26613,160.3216095,4.006084442,0.452840805,0.534943998,55.59020615,78.76866913,8.26320076,17.16458702,
Algeria,DZA,2016,40850719,5.69E+11,13928.76341,158.3083191,3.875288486,0.447289228,0,54.62792969,78.67901611,8.928498268,16.07287407,
Algeria,DZA,2017,41689302,5.77E+11,13840.48119,165.2516327,3.963885784,0.459356278,0.923349977,55.32405472,82.35402679,10.10031796,16.54989052,
Algeria,DZA,2018,42505033,5.84E+11,13739.54938,174.4611816,4.104483128,0.474931002,1.546208024,56.23140717,88.88864136,11.40373898,16.39118195,
Algeria,DZA,2019,43294551,5.90E+11,13627.58099,182.4249878,4.213578701,0.491889626,1.275099993,59.63656235,91.99771881,12.54189014,16.97371864,
Algeria,DZA,2020,44042094,5.60E+11,12715.10841,171.1385345,3.88579464,0.486766636,0.575260997,54.12953568,87.0256958,11.87852001,17.52951622,
Algeria,DZA,2021,44761099,5.79E+11,12935.33923,182.0358124,4.066830635,0.493765384,1.176169038,57.34283066,96.25901031,11.92486668,15.33294106,
Algeria,DZA,2022,45477391,5.96E+11,13105.41319,192.7785645,4.238997936,0.513695717,0.758448005,61.61016083,101.3791046,12.83649826,16.1943512,
Algeria,DZA,2023,46164222,,,202.8466492,4.394022942,0.532489181,0.734112978,64.67647552,109.2219315,12.83649826,15.37762642,
Algeria,DZA,2024,46814302,,,198.203186,4.233817101,0.513498664,0.605760992,68.143013,101.7996979,12.83649826,14.81821632,
Angola,AGO,2006,20015281,66749579296,3334.930911,17.14483833,0.85658741,0.056039594,,7.756688118,1.304383993,0.539009988,7.544756889,
Angola,AGO,2007,20778570,87086353818,4191.162039,17.5879364,0.846445918,0.055836037,,8.800928116,1.593840003,0.542055011,6.651113987,
Angola,AGO,2008,21578656,1.06E+11,4912.261449,18.7501564,0.868921399,0.058503445,,10.21889591,1.271407962,0.684651017,6.575201988,
Angola,AGO,2009,22414775,1.15E+11,5130.544473,20.66833115,0.922085166,0.065586656,,12.29638386,1.289728045,0.693197012,6.389021873,
Angola,AGO,2010,23294822,1.27E+11,5451.855352,22.98332024,0.986627817,0.06898237,,13.36993599,1.370336056,0.578423023,7.664626122,
Angola,AGO,2011,24218358,1.40E+11,5780.738727,23.39703178,0.966086626,0.067856848,,14.34455967,1.403311968,0.764926016,6.884232998,
Angola,AGO,2012,25177398,1.52E+11,6037.16079,25.94095993,1.03032732,0.074213013,,17.26843262,1.421632051,1.147055984,6.103839874,
Angola,AGO,2013,26165616,1.60E+11,6114.895212,25.70974159,0.982577384,0.072882049,,17.4406395,0.765775979,1.55696702,5.946358204,
Angola,AGO,2014,27160767,1.68E+11,6185.392334,26.09214783,0.960655808,0.073570102,,16.97709465,0.578848004,1.976214051,6.559990883,
Angola,AGO,2015,28157802,1.69E+11,6001.888926,27.50522804,0.976824403,0.077690646,,16.16735077,1.440111041,2.03046298,7.867301941,
Angola,AGO,2016,29183072,1.65E+11,5653.962681,25.46563339,0.872616649,0.071951389,,14.17235184,1.494912028,1.499598026,8.298771858,
Angola,AGO,2017,30234836,1.65E+11,5457.281131,23.60098457,0.780589104,0.065604553,,13.88836193,1.572059989,0.995857,7.144705772,
Angola,AGO,2018,31297160,1.63E+11,5208.140291,23.27804947,0.743775129,0.063369215,,15.41078377,1.608495951,1.007482052,5.251286983,
Angola,AGO,2019,32375633,1.61E+11,4972.875743,22.21007538,0.686012089,0.059887115,,14.28593636,2.429231882,1.123729944,4.371177197,
Angola,AGO,2020,33451139,1.52E+11,4543.94094,16.5493412,0.494731754,0.047071032,,9.467776299,2.487855911,1.084980011,3.508728981,
Angola,AGO,2021,34532427,1.54E+11,4459.576502,19.21856117,0.556536674,0.052129637,,12.28172779,2.465872049,1.084980011,3.385979891,
Angola,AGO,2022,35635028,1.58E+11,4433.839648,21.08900452,0.591805458,0.056195725,,14.88697052,1.927140951,1.123729944,3.151164055,
Angola,AGO,2023,36749909,,,21.67481613,0.589792371,0.05689818,,15.35587978,1.742005944,1.123729944,3.453200102,
Angola,AGO,2024,37885854,,,22.33358383,0.589496672,0.057861157,,15.56897831,1.766384006,1.123729944,3.87449193,
Congo,COG,2006,3837411,18567839817,4838.637252,4.785875797,1.2471627,0.015643107,,1.044239998,0.043968,0.039258,3.658410072,
Congo,COG,2007,3980430,18699065550,4697.75013,4.259311199,1.070062995,0.013521941,,1.132176042,0.040304001,0.038718,3.048113108,
Congo,COG,2008,4113514,20270055811,4927.673957,4.270264149,1.038106084,0.013323898,,1.241843939,0.047763001,0.040387001,2.940269947,
Congo,COG,2009,4281218,22298715246,5208.497966,4.943653107,1.154730558,0.015687656,,1.575520039,0.106256001,0.042362001,3.219515085,
Congo,COG,2010,4462304,24809062977,5559.698079,5.49994278,1.232534409,0.016507586,,1.73673594,0.194191992,0.030849,3.538166046,
Congo,COG,2011,4609728,26249089782,5694.281698,5.046421051,1.094732881,0.014635797,,1.930927992,0.282128006,0.026772,2.806592941,
Congo,COG,2012,4740457,28860086022,6088.038774,5.018025875,1.058553219,0.014355782,,2.4786551,0.406998008,0.057353001,2.075020075,
Congo,COG,2013,4857104,28654592534,5899.52213,5.890374184,1.212733746,0.016698049,,2.530267954,0.578556001,0.097309999,2.684238911,
Congo,COG,2014,4975887,30579326354,6145.502572,5.471086979,1.099519968,0.015426419,,2.401992083,0.523604989,0.178247005,2.367243052,
Congo,COG,2015,5097583,29493455123,5785.772419,5.63668108,1.105755568,0.015921243,,2.172751904,0.981952012,0.271245003,2.210731983,
Congo,COG,2016,5222545,26313174327,5038.381541,5.727210999,1.096632242,0.016181838,,2.127440929,1.124137998,0.368117988,2.107512951,
Congo,COG,2017,5351013,25159867387,4701.888668,5.650948048,1.05605197,0.015708156,,1.923599958,1.183472037,0.406868011,2.137008905,
